PRN_NO,Name,hour_study,prev_midsemmarks,Prev_Sem_Marks,Attendance_%,Mobile_Screen_Time_hrs,Risk
2300128,Rohan Kulkarni,1,10,24,47.7,4.1,1
2300129,Krishna Sharma,3,5,80,31.5,6.7,1
2300130,Ishaan Joshi,2,2,23,64.7,2,1
2300131,Shreya Kumar,3,15,75,77.9,4.3,0
2300132,Aarav Desai,4,8,94,43.3,1.3,0
2300133,Nikhil Jadhav,6,7,67,67.6,7.5,0
2300134,Suresh Nair,8,2,67,59.5,10.4,1
2300135,Aditya Joshi,1,4,54,79.3,9.8,1
2300136,Nikhil Chavan,7,20,52,90.2,10.3,0
2300137,Raj Chavan,2,13,40,51.5,2.5,1
2300138,Deepak Kulkarni,8,4,24,93.3,8,1
2300139,Nikhil Pawar,3,18,83,79.5,11.5,0
2300140,Vivaan Sharma,2,4,88,32.6,9.5,1
2300141,Riya Shah,5,20,40,85.4,0.5,0
2300142,Arjun Gupta,8,19,93,64.6,10.6,0
2300143,Manish Mehta,6,19,51,96.2,8.6,0
2300144,Krishna Patel,3,1,37,52.7,1.9,1
2300145,Neha Chavan,2,6,77,71.4,4.1,1
2300146,Riya Patel,3,0,98,96.9,1.9,0
2300147,Aisha Sharma,2,20,43,49,8.9,1
2300148,Vijay Kulkarni,2,17,24,63,0.5,1
2300149,Priya Pawar,8,9,72,82.7,5.8,0
2300150,Ishaan Singh,3,5,92,78.4,12,0
2300151,Sai Kumar,8,6,74,88.7,10.3,0
2300152,Aisha Patel,4,11,24,66.4,7.3,0
2300153,Riya Patel,6,17,88,52.3,8.5,1
2300154,Deepak Jadhav,4,10,60,67.5,7.4,0
2300155,Sneha Jadhav,0,18,26,54.5,9.8,1
2300156,Vivaan Patel,1,3,20,42.4,10.7,1
2300157,Riya Mehta,4,18,71,68.8,9.3,0
2300158,Vihaan Sharma,5,12,45,33.4,2.6,1
2300159,Vihaan Sharma,6,18,82,32.6,4.8,0
2300160,Sneha Chavan,1,1,31,34.5,9.5,1
2300161,Aisha Kumar,8,8,89,77.1,10,0
2300162,Rohan Patel,5,7,38,58.5,7.7,1
2300163,Kavya Sharma,1,20,99,64.6,8.7,0
2300164,Riya Shah,1,13,23,54,2.5,1
2300165,Manish More,2,8,24,47.8,4.8,1
2300166,Amit Tiwari,0,12,73,55.1,6.6,1
2300167,Kunal Rao,8,17,89,43.5,11.8,1
2300168,Sai Mishra,3,5,76,77.5,9.7,0
2300169,Neha Kumar,4,2,97,37.1,2.7,1
2300170,Manish Verma,6,9,71,66.2,4.6,0
2300171,Rahul Sharma,0,9,37,63.4,3,1
2300172,Nikhil Pandey,2,9,83,51.1,2.3,1
2300173,Aarav Gupta,2,8,29,37.2,1.9,1
2300174,Nikhil Chavan,1,11,42,79.2,11.6,1
2300175,Neha Singh,7,7,87,69.9,10.9,0
2300176,Aditya Pawar,4,8,71,86.7,6.1,0
2300177,Kavya Shah,0,16,66,46.5,6.8,1
2300178,Nikhil Tiwari,1,7,89,85.4,10.1,1
2300179,Rahul Rao,0,17,45,50.4,8,1
2300180,Aditya Mehta,5,19,89,37.9,8.9,1
2300181,Arjun Pawar,8,16,62,39.4,9.6,1
2300182,Sneha Patel,6,5,88,45.5,6.1,1
2300183,Nikhil Sharma,4,9,82,77.8,11.7,0
2300184,Aisha Sharma,2,0,97,47.1,7.7,1
2300185,Aditya Jadhav,7,20,85,72.3,7.8,0
2300186,Deepak Nair,3,0,82,48,2.1,1
2300187,Amit Patel,8,8,32,55.6,11.9,1
2300188,Ishaan Tiwari,4,19,70,92.3,1.3,0
2300189,Vijay Jadhav,5,2,24,65,11.8,1
2300190,Pooja Verma,4,5,66,72,11,0
2300191,Manish Nair,6,6,55,43.2,10.3,1
2300192,Vivaan Pawar,6,8,55,39.2,8.2,1
2300193,Ishaan Sharma,0,4,69,58.9,7.5,1
2300194,Krishna Desai,1,15,75,89.9,12,0
2300195,Amit Chavan,6,1,38,46.9,11.7,1
2300196,Rohan Nair,7,2,39,73.5,9.8,1
2300197,Suresh Patel,3,2,41,91,1.5,1
2300198,Shreya Mishra,5,19,50,95.4,4.8,0
2300199,Nikhil Joshi,2,9,81,99.6,10.5,0
2300200,Deepak Singh,6,2,63,83.4,8.6,0
2300201,Diya Kulkarni,2,14,87,35.3,1.9,1
2300202,Aarav Kumar,6,13,86,91,4.5,0
2300203,Sneha Chavan,7,3,68,92,0.7,0
2300204,Sneha Shah,2,9,78,69,10.8,0
2300205,Neha Pandey,1,10,23,34.7,9.1,1
2300206,Nikhil Verma,5,10,58,63.4,5.5,0
2300207,Vivaan More,3,7,26,44.7,9.2,1
2300208,Deepak Pawar,7,8,90,60.9,11.2,0
2300209,Aisha Nair,1,7,68,80.7,3.7,1
2300210,Sai Pandey,3,11,34,76.7,3.8,0
2300211,Amit Desai,1,16,26,84.6,6.1,1
2300212,Nikhil Gupta,1,14,66,63.4,8.6,0
2300213,Aarav Kumar,1,18,87,65.8,11.9,0
2300214,Rahul Shah,0,19,64,95.5,2.4,0
2300215,Ananya Gupta,3,5,38,74.2,4.4,1
2300216,Rohan Singh,1,4,66,82.3,4.7,1
2300217,Sai Mishra,8,7,72,76.5,8.8,0
2300218,Aisha Pandey,8,17,46,74.8,10.7,0
2300219,Aditya Kumar,6,20,24,93.9,2.6,0
2300220,Aisha Chavan,5,20,79,55,8.7,1
2300221,Diya Jadhav,2,14,96,59.9,11,1
2300222,Nikhil Nair,6,2,81,56.6,1.9,1
2300223,Kunal More,0,13,78,83.6,7.8,0
2300224,Kavya More,8,14,80,90.8,2.8,0
2300225,Nikhil Gupta,3,12,75,55,5.6,0
2300226,Raj Mehta,5,20,97,40,2,0
2300227,Ananya Sharma,5,19,66,64.6,8.4,0
2300228,Raj Sharma,2,20,67,98.9,5.1,0
2300229,Pooja Verma,3,8,29,44.3,7,1
2300230,Kunal Chavan,2,16,51,61.6,6.5,0
2300231,Deepak Kumar,5,18,84,49,8.5,1
2300232,Diya Sharma,0,3,43,94.6,10.8,1
2300233,Riya Joshi,7,19,48,68.6,3.7,0
2300234,Arjun Patel,7,9,26,70.5,7.3,0
2300235,Ananya Chavan,8,2,36,30.6,7.1,1
2300236,Neha Gupta,5,18,44,75.7,4.1,0
2300237,Amit Tiwari,0,8,55,51.4,6.2,1
2300238,Nikhil Gupta,2,4,80,65.9,1,1
2300239,Pooja Pawar,0,13,90,67.2,5.4,0
2300240,Kunal Tiwari,4,6,54,71.5,3.6,0
2300241,Kunal Kulkarni,2,20,97,87.6,10.4,0
2300242,Arjun Shah,1,5,69,50.9,4.6,1
2300243,Riya Chavan,2,7,75,47.9,2.7,1
2300244,Rahul Joshi,8,1,84,85.7,6.6,0
2300245,Vihaan Sharma,7,13,60,80.3,9.8,0
2300246,Kunal Gupta,2,6,44,45.8,4.6,1
2300247,Suresh Nair,1,2,53,30.1,10.2,1
2300248,Amit Gupta,4,19,27,76.6,4.3,0
2300249,Vihaan Verma,0,5,75,41,9,1
2300250,Aisha Nair,3,20,49,97,1.8,0
2300251,Raj More,7,13,87,72.3,1.2,0
2300252,Raj Sharma,0,11,40,89.5,9,1
2300253,Vijay Gupta,4,17,29,86.4,4.7,0
2300254,Diya Singh,3,11,52,69,5,0
2300255,Riya Chavan,5,6,94,60.7,7.1,0
2300256,Suresh Verma,6,4,94,64.8,11.8,0
2300257,Kavya Kulkarni,8,11,23,86.2,2.5,0
2300258,Vijay Shah,0,8,42,74.8,3.9,1
2300259,Shreya Patel,3,10,88,44.4,8,1
2300260,Nikhil Sharma,5,3,72,72.7,8.6,0
2300261,Aarav More,6,13,24,58.3,8.6,1
2300262,Priya Gupta,6,11,37,34.3,7.3,1
2300263,Ananya Patel,7,17,36,56.7,7.3,1
2300264,Aarav Sharma,7,6,77,45.9,2.2,1
2300265,Ishaan Nair,7,0,86,88.7,10.1,0
2300266,Priya Shah,7,12,91,37.3,0.6,0
2300267,Siddharth Mishra,7,15,75,55.2,5.3,0
2300268,Ananya Tiwari,5,4,59,78.7,3,0
2300269,Vivaan More,8,18,21,92.8,1.7,0
2300270,Shreya Patel,2,8,40,53.5,4.2,1
2300271,Suresh Pawar,5,8,71,72.5,8.1,0
2300272,Raj Kumar,4,11,43,56.2,6.2,1
2300273,Siddharth Nair,7,17,72,44.2,10.5,1
2300274,Raj Verma,3,9,57,52.8,7.4,1
2300275,Neha Mehta,3,16,39,74.5,3.4,0
2300276,Rohan Singh,4,18,69,80.1,6.4,0
2300277,Raj Jadhav,5,10,58,55.9,3.1,0
2300278,Diya Desai,3,15,79,40.7,2.6,0
2300279,Siddharth Singh,1,7,58,39.8,11.5,1
2300280,Deepak Singh,1,14,90,86.9,5.9,0
2300281,Aryan Gupta,2,10,52,75.7,8,0
2300282,Krishna Patel,1,6,48,81,10.5,1
2300283,Kavya Patel,0,1,93,64.2,4.2,1
2300284,Riya Singh,7,18,29,62,9.6,0
2300285,Shreya Pawar,4,8,95,44.8,9.6,1
2300286,Rohan Gupta,0,17,86,41.8,10,1
2300287,Ananya Pawar,8,12,22,40.8,2.7,1
2300288,Suresh Mishra,7,0,96,99.4,11.6,0
2300289,Suresh Patel,3,18,50,87.5,3.7,0
2300290,Krishna Pawar,7,12,46,73.8,9.4,0
2300291,Kavya Kulkarni,6,13,89,45,2.4,0
2300292,Riya Mishra,6,16,46,53.6,11.1,1
2300293,Manish More,0,19,28,54.6,5.4,1
2300294,Kavya Singh,5,0,25,63.4,8.2,1
2300295,Ananya Mehta,3,4,25,59.5,10.3,1
2300296,Neha Shah,1,19,45,95.4,3.7,1
2300297,Krishna Joshi,6,13,62,80.5,5,0
2300298,Nikhil Tiwari,8,17,38,35.7,4.1,1
2300299,Aisha More,4,12,35,55.2,3.8,1
2300300,Raj Pandey,7,11,42,39.3,6.4,1
2300301,Riya Gupta,4,14,94,49.6,6.8,0
2300302,Aditya Shah,6,3,99,97.1,1.4,0
2300303,Deepak Kulkarni,6,8,48,79.4,8.2,0
2300304,Manish Singh,8,2,57,30.5,5.3,1
2300305,Rahul Chavan,2,10,78,53,10.7,1
2300306,Deepak Joshi,0,14,67,60.7,10.7,0
2300307,Diya Nair,1,15,39,72.2,8.8,1
2300308,Raj Joshi,5,6,40,65,10.3,1
2300309,Sneha Gupta,8,6,47,34.9,11.1,1
2300310,Aditya Desai,2,8,69,66.1,7.1,0
2300311,Priya Jadhav,1,16,52,39.1,11.7,1
2300312,Pooja Shah,0,12,59,66.3,11.5,0
2300313,Krishna Nair,1,8,73,47.2,1.8,1
2300314,Raj Shah,2,8,29,40.1,6.5,1
2300315,Kavya Rao,6,19,53,50.2,1.8,0
2300316,Rohan Tiwari,1,11,92,37,8.4,1
2300317,Diya Kumar,4,20,55,49.9,9.3,1
2300318,Aryan Mehta,1,18,94,90.7,10.7,0
2300319,Shreya Verma,6,14,93,51.5,8,1
2300320,Arjun Gupta,7,17,26,62.9,5.7,0
2300321,Sai More,7,7,35,66.4,2.3,1
2300322,Ishaan Chavan,7,5,70,42.5,1.9,1
2300323,Diya Sharma,8,5,80,60.9,6.1,0
2300324,Amit Kulkarni,0,2,50,89.7,10.1,1
2300325,Kavya Joshi,0,2,51,35.6,9.1,1
2300326,Deepak Mishra,1,1,64,94.6,10.6,1
2300327,Vihaan Singh,5,4,95,91,9.8,0
2300328,Sai More,0,19,46,89.9,2.9,1
2300329,Siddharth Shah,4,11,41,43.9,2.8,1
2300330,Amit Joshi,4,5,34,63.9,5.8,1
2300331,Manish Nair,3,15,27,73.1,2.7,0
2300332,Raj More,4,4,87,37,2.7,1
2300333,Rohan Patel,0,5,27,69,3.6,1
2300334,Diya Mishra,5,3,35,88.8,0.8,1
2300335,Shreya Kulkarni,6,13,67,95.6,7.1,0
2300336,Nikhil Kumar,7,2,53,49.5,5.1,1
2300337,Siddharth Mehta,1,16,76,50.2,3.2,1
2300338,Rohan Sharma,6,4,24,49,2,1
2300339,Aditya Mishra,5,20,63,40.7,5.7,0
2300340,Nikhil Pawar,8,20,90,60.1,7.4,0
2300341,Deepak Sharma,7,5,56,84.9,11.7,0
2300342,Sai Rao,3,19,47,79.8,3.4,0
2300343,Raj Shah,8,3,87,93,0.8,0
2300344,Diya Mishra,0,12,57,54.9,9,1
2300345,Siddharth Pandey,5,7,65,70.1,3.2,0
2300346,Rahul Chavan,7,10,92,83.7,6.1,0
2300347,Amit Desai,3,18,45,92.9,9.8,0
2300348,Nikhil Gupta,1,4,94,91,0.9,1
2300349,Vihaan Patel,1,4,72,62.6,2.1,1
2300350,Neha Kulkarni,0,2,82,93.5,1.6,1
2300351,Deepak Jadhav,4,1,82,61.1,3.2,0
2300352,Pooja Mehta,5,2,57,93.2,2.5,0
2300353,Kavya Tiwari,3,14,34,84.4,4.1,0
2300354,Pooja Sharma,3,6,28,45.5,9.1,1
2300355,Rahul Patel,4,2,94,95.1,1,0
2300356,Riya Desai,4,14,41,47,1.3,1
2300357,Ananya Nair,8,10,89,93.6,7,0
2300358,Riya Kumar,7,15,75,73.1,6.5,0
2300359,Sai Shah,8,12,56,76.7,6,0
2300360,Vijay Kumar,2,1,76,37.7,6.4,1
2300361,Raj Singh,2,19,79,34.6,9,1
2300362,Raj Kumar,0,11,31,97.8,7.1,1
2300363,Raj Jadhav,5,20,26,53.6,5.8,1
2300364,Nikhil Gupta,3,6,85,89.1,1.4,0
2300365,Krishna Singh,7,0,60,79.3,11.7,0
2300366,Manish Pawar,1,13,43,72.3,3.3,1
2300367,Krishna Sharma,1,9,44,78,10.5,1
2300368,Rahul Kulkarni,6,2,81,36.3,4.9,1
2300369,Diya Chavan,4,10,63,58.9,8.4,1
2300370,Siddharth Mishra,0,19,21,72.5,5.7,1
2300371,Sneha Patel,6,20,61,90.7,4.6,0
2300372,Siddharth Rao,6,14,52,80,7.6,0
2300373,Shreya More,5,5,36,47.7,6.7,1
2300374,Arjun Pandey,3,17,82,98.9,3.2,0
2300375,Deepak Verma,7,12,41,75,4.4,0
2300376,Aryan Jadhav,1,14,20,65.1,0.9,1
2300377,Manish Mishra,1,2,89,84.7,2.7,1
2300378,Arjun Sharma,1,14,73,72.2,4.4,0
2300379,Amit Sharma,2,0,33,79.7,11.7,1
2300380,Shreya Pandey,5,9,72,73.2,6.6,0
2300381,Kavya Desai,0,17,25,42.5,8.6,1
2300382,Rahul Pawar,1,7,83,68,8.2,1
2300383,Diya Sharma,1,11,52,49.8,11.8,1
2300384,Vivaan Mehta,0,4,91,69.9,6.9,1
2300385,Aditya Sharma,2,0,63,38.8,7.2,1
2300386,Rahul Chavan,6,7,53,46.2,4,1
2300387,Suresh Rao,0,4,53,86.6,7.7,1
2300388,Nikhil Pawar,6,16,43,58.4,9.2,1
2300389,Arjun Gupta,4,14,21,77.2,1.7,0
2300390,Sai Patel,8,3,27,64.8,6,1
2300391,Rahul Gupta,1,12,44,53.8,5.4,1
2300392,Rahul Gupta,0,16,51,64.7,1.8,0
2300393,Aryan Nair,8,12,75,87,4.4,0
2300394,Neha Pawar,7,1,26,49.7,6.7,1
2300395,Rahul Tiwari,5,3,67,59.5,8,1
2300396,Krishna Tiwari,4,1,73,44.2,3.8,1
2300397,Aarav More,7,11,82,54.6,6,0
2300398,Diya Mishra,7,18,92,92,8.9,0
2300399,Vihaan Sharma,4,17,99,85,5.4,0
2300400,Kavya Kumar,6,9,21,56.2,11.3,1
2300401,Vivaan Kumar,0,4,54,39.3,0.9,1
2300402,Rohan Verma,3,10,41,59.4,3.5,1
2300403,Amit Patel,1,0,83,84,2,1
2300404,Manish Jadhav,2,2,78,33.1,6.7,1
2300405,Ananya Sharma,0,16,68,82.2,2.5,0
2300406,Amit Shah,1,14,71,77.6,9,0
2300407,Arjun Pawar,0,13,40,34.5,11.1,1
2300408,Riya Pandey,7,14,31,74.5,2.9,0
2300409,Suresh Pandey,3,15,30,50.9,10.9,1
2300410,Arjun Tiwari,2,3,73,42.4,7.8,1
2300411,Vivaan Desai,0,18,89,56.9,2.8,1
2300412,Neha Joshi,1,7,33,44.4,9,1
2300413,Sai Verma,2,5,52,87.7,1.5,1
2300414,Sai Jadhav,2,15,96,81.9,8.5,0
2300415,Vivaan Jadhav,5,2,45,98.7,10.4,1
2300416,Kunal Pandey,7,7,33,67.4,11.4,1
2300417,Manish More,5,4,67,36.2,1.1,1
2300418,Vivaan Kulkarni,1,4,84,55.7,1.2,1
2300419,Deepak Rao,1,11,65,88.7,11.2,0
2300420,Aarav Pandey,6,0,74,57.8,9.6,1
2300421,Nikhil Nair,0,6,93,61.9,9.4,1
2300422,Neha Pawar,0,10,93,58.8,9,1
2300423,Arjun Singh,6,9,87,46.5,8.7,1
2300424,Aryan Pawar,8,2,97,35.1,7.6,1
2300425,Aryan Pawar,4,7,31,42.6,9.8,1
2300426,Nikhil Kulkarni,0,0,73,55.5,0.9,1
2300427,Vijay Gupta,4,7,83,47.2,9,1
2300428,Vivaan Rao,0,19,66,70.1,7.2,0
2300429,Rahul Verma,8,10,56,73,10.9,0
2300430,Diya Desai,3,6,93,69.9,11.3,0
2300431,Priya Chavan,8,15,60,35.9,3.3,0
2300432,Priya More,1,6,46,76.7,9.6,1
2300433,Pooja Chavan,6,12,61,56.9,11.5,1
2300434,Priya Chavan,1,9,95,91.5,3.6,0
2300435,Ishaan Singh,3,16,87,66.8,10.3,0
2300436,Ishaan Singh,5,2,48,35.9,7.2,1
2300437,Vijay Patel,1,6,55,30.6,5,1
2300438,Aditya Jadhav,1,10,76,79.2,10,0
2300439,Siddharth More,1,12,97,58,10.5,1
2300440,Neha Gupta,2,4,31,50.2,3.8,1
2300441,Shreya Nair,4,18,64,61.3,9.6,0
2300442,Siddharth Rao,8,14,39,35.1,1.1,1
2300443,Aarav Gupta,5,0,64,57.4,5.3,1
2300444,Krishna Shah,8,4,42,52,1.3,1
2300445,Raj Tiwari,4,12,81,86,3.9,0
2300446,Vivaan Pawar,5,9,53,42.2,11.4,1
2300447,Sneha Mishra,7,4,40,82.9,8.9,1
2300448,Manish Mehta,2,0,70,65,9.2,1
2300449,Raj Pandey,1,9,28,35.7,2,1
2300450,Deepak Pandey,2,17,93,97.9,7.2,0
2300451,Vijay Desai,8,7,29,81.4,5,1
2300452,Riya Pawar,5,19,71,48.2,8.9,1
2300453,Raj Singh,3,2,64,70.7,2.3,0
2300454,Aarav Kumar,2,18,71,93,3.7,0
2300455,Kavya Patel,1,18,49,95.2,10.8,1
2300456,Siddharth Kulkarni,3,1,83,81.2,2.5,0
2300457,Pooja Pandey,8,16,21,80.9,7.8,0
2300458,Vijay Tiwari,3,15,68,49.4,4.1,0
2300459,Raj Tiwari,4,20,64,99.3,1.4,0
2300460,Vijay Verma,7,9,36,47,3.1,1
2300461,Diya Tiwari,1,20,47,36.3,10.5,1
2300462,Manish More,2,15,64,98.4,11,0
2300463,Rohan Patel,5,4,36,40.7,5.3,1
2300464,Pooja Tiwari,6,19,78,66.5,7.6,0
2300465,Priya Pandey,3,2,33,62.8,6.5,1
2300466,Nikhil Mishra,0,2,29,89.4,3.7,1
2300467,Shreya Rao,6,1,97,57.8,4.5,1
2300468,Aditya More,8,20,100,65.2,6.6,0
2300469,Pooja Gupta,0,3,37,33.1,8.5,1
2300470,Nikhil Nair,0,17,54,44.5,4.5,1
2300471,Rohan Pawar,0,1,67,88.3,8.5,1
2300472,Rohan Shah,6,5,77,63.5,11.6,0
2300473,Deepak Pawar,8,2,37,46.2,0.8,1
2300474,Diya Kulkarni,2,20,71,55.8,2.4,1
2300475,Deepak Singh,7,2,49,50,11,1
2300476,Aryan Patel,8,1,56,68.9,1.3,0
2300477,Krishna Mishra,2,2,59,33.6,9.3,1
2300478,Shreya Pandey,2,16,25,45.7,7.7,1
2300479,Vihaan Pandey,0,13,98,54.8,1,1
2300480,Amit Verma,1,6,54,95,0.5,1
2300481,Pooja Kumar,6,20,45,73.6,6.3,0
2300482,Ishaan Pawar,2,5,49,65.3,1.8,1
2300483,Ananya More,6,7,94,43.4,10.5,1
2300484,Aryan Mehta,4,18,43,69,6,0
2300485,Arjun Rao,7,18,74,95,3.2,0
2300486,Aisha Verma,4,11,97,69.6,2.4,0
2300487,Manish Mishra,2,4,28,41.5,10.1,1
2300488,Sai Gupta,8,4,81,99.8,8.8,0
2300489,Deepak Sharma,6,13,37,64.9,8.8,0
2300490,Rahul Rao,4,16,70,52.4,1.5,0
2300491,Sai Chavan,6,15,38,65.2,7.7,0
2300492,Vihaan Desai,8,3,88,48.5,10.5,1
2300493,Kunal Mehta,4,7,52,32.1,9.3,1
2300494,Suresh Patel,6,2,57,92.3,1.9,0
